Order_ID,Region,Vehicle_Type,Distance_km,Delivery_Time_hr,Shipment_Volume,Package_Weight_kg,Transportation_Cost,Weather,Delivery_Status
ORD1001,South,Bike,91.7,2.86,6,7.0,1027.25,Clear,On Time
ORD1002,West,Van,35.0,1.05,10,15.3,640.34,Clear,On Time
ORD1003,West,Van,12.1,0.56,8,12.7,332.69,Clear,On Time
ORD1004,East,Van,6.3,0.4,8,10.7,248.73,Clear,On Time
ORD1005,North,Van,17.2,0.75,11,17.9,577.64,Clear,On Time
ORD1006,North,Truck,57.2,1.77,10,8.2,924.8,Clear,Delayed
ORD1007,North,Van,13.9,0.8,13,10.8,499.92,Clear,Delayed
ORD1008,West,Bike,62.9,2.08,6,5.7,751.15,Clear,On Time
ORD1009,East,Truck,55.3,1.74,7,10.3,876.88,Clear,On Time
ORD1010,East,Bike,34.2,1.44,9,9.2,493.45,Rainy,On Time
ORD1011,North,Van,22.3,1.08,12,13.5,510.99,Clear,On Time
ORD1012,West,Bike,31.0,1.16,6,7.8,561.7,Rainy,On Time
ORD1013,West,Bike,46.0,1.8,7,13.4,614.07,Clear,On Time
ORD1014,North,Truck,14.3,0.54,8,5.8,497.53,Clear,On Time
ORD1015,North,Truck,86.1,3.15,11,18.4,1351.13,Rainy,On Time
ORD1016,North,Van,45.8,1.7,8,13.6,800.45,Stormy,On Time
ORD1017,South,Van,49.1,1.54,9,17.1,823.29,Clear,On Time
ORD1018,East,Bike,55.0,1.86,10,21.0,825.87,Clear,Delayed
ORD1019,South,Bike,81.0,3.06,8,5.8,878.77,Rainy,On Time
ORD1020,South,Bike,41.7,1.84,8,7.4,593.73,Rainy,On Time
ORD1021,East,Van,57.2,1.59,9,18.3,864.51,Clear,Delayed
ORD1022,North,Van,22.6,0.81,12,16.7,478.11,Clear,On Time
ORD1023,South,Van,103.2,2.92,13,20.1,1487.67,Clear,Delayed
ORD1024,South,Bike,39.8,1.69,9,15.3,615.96,Clear,Delayed
ORD1025,South,Truck,22.5,1.04,12,20.6,726.59,Clear,On Time
ORD1026,West,Van,26.8,0.72,6,12.6,580.44,Clear,On Time
ORD1027,North,Van,8.3,0.52,11,24.1,554.21,Clear,On Time
ORD1028,South,Van,26.7,1.39,10,17.8,565.91,Rainy,On Time
ORD1029,East,Van,5.3,0.44,10,11.3,329.77,Clear,On Time
ORD1030,North,Bike,59.9,1.93,8,16.2,688.44,Clear,On Time
ORD1031,East,Bike,48.2,1.83,10,7.7,665.69,Rainy,On Time
ORD1032,North,Truck,18.0,0.8,13,13.6,540.98,Rainy,Delayed
ORD1033,North,Bike,35.4,1.5,8,16.4,617.15,Clear,Delayed
ORD1034,West,Bike,36.5,1.73,11,11.9,612.72,Clear,On Time
ORD1035,West,Bike,15.4,0.54,8,8.2,366.84,Clear,On Time
ORD1036,West,Bike,31.5,1.33,5,4.5,304.32,Clear,On Time
ORD1037,South,Truck,37.3,1.2,10,19.9,806.61,Clear,On Time
ORD1038,North,Van,30.9,1.08,5,7.3,546.79,Clear,Delayed
ORD1039,East,Van,22.5,1.13,8,13.7,580.6,Clear,On Time
ORD1040,South,Bike,17.5,1.03,16,16.9,548.03,Clear,On Time
ORD1041,North,Van,30.2,1.12,11,20.2,662.16,Clear,On Time
ORD1042,South,Van,24.4,1.0,6,11.0,548.16,Clear,On Time
ORD1043,North,Bike,52.7,1.59,8,9.4,585.69,Clear,On Time
ORD1044,West,Van,84.1,2.56,4,5.3,1044.42,Clear,Delayed
ORD1045,North,Bike,64.9,2.02,4,4.1,705.71,Clear,On Time
ORD1046,East,Van,38.1,1.39,9,19.5,727.96,Rainy,On Time
ORD1047,South,Van,23.1,0.85,10,16.7,435.1,Clear,On Time
ORD1048,East,Bike,63.8,2.22,9,18.9,971.29,Rainy,Delayed
ORD1049,East,Bike,54.8,1.93,5,5.8,663.92,Rainy,Delayed
ORD1050,North,Van,80.5,2.31,7,13.1,1139.69,Clear,On Time
ORD1051,West,Van,41.7,1.19,8,14.8,735.97,Clear,On Time
ORD1052,West,Truck,99.9,2.78,8,13.9,1574.44,Clear,On Time
ORD1053,West,Van,41.7,1.36,5,10.7,560.54,Clear,On Time
ORD1054,West,Bike,23.0,0.95,6,7.7,415.53,Rainy,Delayed
ORD1055,East,Bike,26.0,1.35,14,12.5,615.99,Clear,On Time
ORD1056,West,Van,51.2,1.62,12,20.5,904.19,Clear,On Time
ORD1057,North,Bike,24.4,1.05,5,9.0,369.66,Clear,On Time
ORD1058,North,Van,99.5,2.95,9,14.1,1322.71,Clear,On Time
ORD1059,North,Truck,48.5,1.74,7,7.1,784.01,Clear,On Time
ORD1060,South,Van,37.5,1.6,5,7.3,552.19,Clear,On Time
ORD1061,South,Bike,39.6,1.26,6,7.0,548.42,Clear,On Time
ORD1062,North,Van,30.7,1.51,13,17.4,756.73,Stormy,On Time
ORD1063,West,Van,10.0,0.57,10,16.7,380.95,Clear,On Time
ORD1064,South,Van,26.1,1.07,8,14.5,525.27,Clear,On Time
ORD1065,South,Truck,92.1,2.97,12,12.6,1463.67,Clear,On Time
ORD1066,East,Bike,42.4,1.48,11,14.4,678.46,Clear,On Time
ORD1067,North,Truck,69.5,2.24,12,13.2,1089.08,Clear,On Time
ORD1068,West,Truck,70.7,2.24,14,14.0,1199.73,Clear,On Time
ORD1069,North,Bike,35.7,1.48,10,18.8,644.0,Clear,On Time
ORD1070,West,Bike,55.3,2.13,8,16.5,846.17,Clear,On Time
ORD1071,West,Bike,10.8,0.48,6,7.5,242.14,Clear,On Time
ORD1072,North,Bike,87.6,2.97,9,16.4,1152.95,Rainy,Delayed
ORD1073,North,Bike,83.3,2.86,10,20.5,1094.73,Clear,On Time
ORD1074,West,Van,50.3,1.42,7,13.8,738.62,Clear,On Time
ORD1075,East,Bike,43.4,1.49,8,7.8,545.8,Clear,On Time
ORD1076,West,Bike,36.0,1.86,8,17.1,725.84,Stormy,On Time
ORD1077,West,Truck,74.5,2.31,11,13.9,1210.74,Clear,On Time
ORD1078,North,Bike,59.4,2.06,11,13.3,887.74,Clear,On Time
ORD1079,South,Truck,28.5,1.14,7,5.6,452.02,Stormy,On Time
ORD1080,North,Bike,15.9,0.4,5,7.1,474.6,Rainy,On Time
ORD1081,West,Bike,13.8,0.77,5,4.3,338.34,Rainy,On Time
ORD1082,East,Van,74.0,2.07,5,5.4,959.79,Clear,On Time
